generation,best_fitness,best_is_full,mean_fitness,full_count,cache_hits,sigma,stagnation_counter,holdout_fitness,holdout_mean_score,elapsed_ms
0,58829.8625,true,45127.4025,6,0,0.1500,0,58525.9333,58525.9333,8015.1
1,58829.8625,true,49888.5857,9,1,0.1487,1,58525.9333,58525.9333,7062.3
2,60883.3500,true,54899.2315,10,2,0.1474,0,60707.6833,60707.6833,8141.2
3,64583.0000,true,57492.7400,11,1,0.1461,0,64418.8000,64418.8000,8378.7
4,64802.9000,true,59041.6345,10,0,0.1447,0,64548.2333,64548.2333,7718.0
5,65272.9875,true,59421.6390,8,0,0.1434,0,65158.1667,65158.1667,7215.5
6,65375.6375,true,60881.4572,9,0,0.1421,0,65268.5833,65268.5833,8424.4
7,67291.6375,true,62229.0493,9,0,0.1408,0,67126.9833,67126.9833,8477.7
8,67387.0250,true,63819.7115,11,3,0.1395,0,67147.6667,67147.6667,7868.0
9,67432.1500,true,64652.9692,9,0,0.1382,0,67298.7667,67298.7667,7915.6
10,67433.0250,true,65142.5065,8,1,0.1369,0,67136.2167,67136.2167,8004.5
11,67433.0250,true,65516.0990,6,1,0.1356,1,67136.2167,67136.2167,7070.5
12,67642.2125,true,66625.6068,8,0,0.1342,0,67578.3167,67578.3167,8033.6
13,67939.2375,true,66709.0848,10,0,0.1329,0,67849.1000,67849.1000,8973.9
14,67939.2375,true,66491.9595,8,2,0.1316,1,67849.1000,67849.1000,7544.7
15,67987.2500,true,66654.1442,9,0,0.1303,0,67968.9333,67968.9333,8576.1
16,67987.2500,true,67206.4737,7,0,0.1290,1,67968.9333,67968.9333,7718.0
17,67987.2500,true,67235.4852,8,1,0.1277,2,67968.9333,67968.9333,7938.0
18,67987.2500,true,66554.8932,8,1,0.1264,3,67968.9333,67968.9333,8104.7
19,68040.2750,false,67166.9302,12,2,0.1251,4,67968.9333,67968.9333,8412.1
20,68040.2750,false,67363.2105,9,1,0.1237,5,67968.9333,67968.9333,9410.5
21,68040.2750,false,67113.8845,6,1,0.1224,6,67968.9333,67968.9333,9631.7
22,68040.2750,false,67487.3117,6,2,0.1211,7,67968.9333,67968.9333,9228.6
23,68040.2750,false,67239.3710,6,3,0.1198,8,67968.9333,67968.9333,9621.2
24,68040.2750,false,66578.2035,6,1,0.1500,1,67968.9333,67968.9333,9337.2
25,68040.2750,false,67164.6000,6,2,0.1172,2,67968.9333,67968.9333,8892.9
26,68040.2750,false,67487.9142,6,2,0.1159,3,67968.9333,67968.9333,8903.1
27,68040.2750,false,66669.1637,6,1,0.1145,4,67968.9333,67968.9333,9048.2
28,68114.0625,true,66663.7437,6,0,0.1132,0,68005.2333,68005.2333,9165.5
29,68114.0625,true,67203.9872,7,2,0.1119,1,68005.2333,68005.2333,8693.0
30,68114.0625,true,67502.2190,6,2,0.1106,2,68005.2333,68005.2333,8111.1
31,68114.0625,true,67881.1845,6,3,0.1093,3,68005.2333,68005.2333,7607.4
32,68114.0625,true,67734.7290,6,2,0.1080,4,68005.2333,68005.2333,6457.3
33,68114.0625,true,67106.7400,6,2,0.1067,5,68005.2333,68005.2333,7706.8
34,68114.0625,true,67050.2285,6,3,0.1054,6,68005.2333,68005.2333,6895.9
35,68114.0625,true,67673.0905,6,3,0.1040,7,68005.2333,68005.2333,7299.1
36,68114.0625,true,67105.3945,7,5,0.1027,8,68005.2333,68005.2333,7232.6
37,68127.8000,true,66730.3395,8,0,0.1500,0,68013.6667,68013.6667,8273.6
38,68130.9500,true,67017.1623,10,0,0.1001,0,68010.1167,68010.1167,9296.4
39,68130.9500,true,67240.0970,8,2,0.0988,1,68010.1167,68010.1167,8350.0
40,68140.5250,true,67065.6853,9,1,0.0975,0,68030.6333,68030.6333,8909.3
41,68140.5250,true,67530.6360,11,5,0.0962,1,68030.6333,68030.6333,7708.2
42,68140.5250,true,67373.4412,8,2,0.0948,2,68030.6333,68030.6333,8682.9
43,68145.6875,true,66924.3158,6,0,0.0935,0,68043.8333,68043.8333,8942.3
44,68179.0500,true,67496.5110,8,3,0.0922,0,68043.8333,68043.8333,7848.1
45,68179.0500,true,67299.6205,9,3,0.0909,1,68043.8333,68043.8333,8416.2
46,68179.0500,true,67117.1152,11,3,0.0896,2,68043.8333,68043.8333,10165.5
47,68179.0500,true,67017.4693,8,3,0.0883,3,68043.8333,68043.8333,7893.7
48,68218.5000,true,67599.5905,6,1,0.0870,0,68135.1833,68135.1833,8867.2
49,68218.5000,true,67640.9850,6,4,0.0857,1,68135.1833,68135.1833,7329.5
50,68218.5000,true,67520.8477,11,5,0.0843,2,68135.1833,68135.1833,8600.0
51,68233.2250,false,67140.7965,12,1,0.0830,3,68095.9000,68095.9000,9699.9
52,68253.0250,false,66686.6378,6,2,0.0817,4,68109.1000,68109.1000,8867.9
53,68253.0250,false,67162.7530,6,0,0.0804,5,68109.1000,68109.1000,10262.9
54,68253.0250,false,67757.6890,6,2,0.0791,6,68109.1000,68109.1000,9804.5
55,68253.0250,false,67405.1453,6,2,0.0778,7,68109.1000,68109.1000,9243.9
56,68253.0250,false,67262.7378,6,3,0.0765,8,68109.1000,68109.1000,9086.1
57,68253.0250,false,67617.1635,6,2,0.1500,1,68109.1000,68109.1000,9624.9
58,68253.0250,false,67436.8167,6,2,0.0738,2,68109.1000,68109.1000,9708.9
59,68253.0250,false,67309.1858,6,1,0.0725,3,68109.1000,68109.1000,10207.2
60,68253.0250,false,67209.2187,6,3,0.0712,4,68109.1000,68109.1000,9176.6
61,68253.0250,false,67359.9823,6,3,0.0699,5,68109.1000,68109.1000,9114.0
62,68253.0250,false,67162.0995,6,5,0.0686,6,68109.1000,68109.1000,8744.6
63,68253.0250,false,67237.3092,6,2,0.0673,7,68109.1000,68109.1000,9633.7
64,68253.0250,false,67594.5547,6,1,0.0660,8,68109.1000,68109.1000,9356.2
65,68253.0250,false,67905.5822,6,1,0.1500,1,68109.1000,68109.1000,9699.9
66,68253.0250,false,67342.8357,6,1,0.0633,2,68109.1000,68109.1000,8147.4
67,68253.0250,false,67637.0942,6,2,0.0620,3,68109.1000,68109.1000,5102.4
68,68253.0250,false,66921.8797,6,1,0.0607,4,68109.1000,68109.1000,5496.6
69,68253.0250,false,67289.1248,6,1,0.0594,5,68109.1000,68109.1000,5132.5
70,68253.0250,false,66925.9967,6,1,0.0581,6,68109.1000,68109.1000,4664.4
71,68253.0250,false,67093.8092,6,3,0.0568,7,68109.1000,68109.1000,4505.7
72,68253.0250,false,67362.2230,6,4,0.0555,8,68109.1000,68109.1000,4490.0
73,68253.0250,false,67692.6690,6,2,0.1500,1,68109.1000,68109.1000,4681.2
74,68253.0250,false,67844.3117,6,0,0.0528,2,68109.1000,68109.1000,4871.4
75,68253.0250,false,67621.8567,6,2,0.0515,3,68109.1000,68109.1000,4702.5
76,68253.0250,false,67456.8430,6,4,0.0502,4,68109.1000,68109.1000,4541.2
77,68253.0250,false,66850.1575,6,3,0.0489,5,68109.1000,68109.1000,4605.3
78,68253.0250,false,67680.2962,6,1,0.0476,6,68109.1000,68109.1000,4761.3
79,68253.0250,false,67231.2437,6,2,0.0463,7,68109.1000,68109.1000,4648.5
80,68253.0250,false,67346.7452,6,0,0.0449,8,68109.1000,68109.1000,4844.8
81,68253.0250,false,67613.9325,6,3,0.1500,1,68109.1000,68109.1000,4589.0
82,68253.0250,false,67243.7507,6,3,0.0423,2,68109.1000,68109.1000,4567.7
83,68253.0250,false,67905.5637,6,1,0.0410,3,68109.1000,68109.1000,4722.9
84,68253.0250,false,67522.1670,6,2,0.0397,4,68109.1000,68109.1000,4610.3
85,68253.0250,false,67792.0762,6,2,0.0384,5,68109.1000,68109.1000,4666.1
86,68253.0250,false,67514.4007,6,2,0.0371,6,68109.1000,68109.1000,4605.3
87,68253.0250,false,67275.6152,6,3,0.0358,7,68109.1000,68109.1000,4558.5
88,68253.0250,false,66820.3632,6,2,0.0344,8,68109.1000,68109.1000,4653.2
89,68253.0250,false,67577.0282,6,3,0.1500,1,68109.1000,68109.1000,4444.8
90,68253.0250,false,67514.3570,6,2,0.0318,2,68109.1000,68109.1000,4722.4
91,68253.0250,false,67666.4640,6,2,0.0305,3,68109.1000,68109.1000,4724.6
92,68253.0250,false,67315.4020,6,4,0.0292,4,68109.1000,68109.1000,4454.8
93,68253.0250,false,67257.1792,6,3,0.0279,5,68109.1000,68109.1000,4561.3
94,68253.0250,false,67638.8120,6,1,0.0266,6,68109.1000,68109.1000,4773.5
95,68253.0250,false,67018.5342,6,2,0.0253,7,68109.1000,68109.1000,4751.6
96,68253.0250,false,67298.8270,6,4,0.0239,8,68109.1000,68109.1000,4515.0
97,68253.0250,false,66784.8325,6,7,0.1500,1,68109.1000,68109.1000,4074.1
98,68253.0250,false,67361.0722,6,5,0.0213,2,68109.1000,68109.1000,4242.1
99,68253.0250,false,67734.3830,6,3,0.0200,3,68109.1000,68109.1000,4497.4
